지점명,지점주소,y,x
스타벅스 강남R점,서울 강남구 강남대로 390,37.4978399531903,127.028578846319
스타벅스 파미에파크R점,서울 서초구 사평대로 205 센트럴시티 파미에파크돔,37.5044921229104,127.007845270854
스타벅스 공릉DT점,서울 노원구 동일로 1015,37.6207526469417,127.074220863167
스타벅스 청담스타R점,서울 강남구 도산대로57길 24,37.5252578873567,127.041837238386
스타벅스 더종로R점,서울 종로구 종로 51,37.5707451369668,126.983611410428
스타벅스 홍대입구역사거리R점,서울 마포구 양화로 125,37.5547493986687,126.920309389675
스타벅스 석촌호수점,"서울 송파구 석촌호수로 262 지상 1, 2층",37.5094418481496,127.105237022741
스타벅스 연희DT점,서울 서대문구 연희로 144,37.5701890591183,126.93389011557
스타벅스 환구단점,서울 중구 소공로 112 반도조선아케이드,37.5646251531765,126.979222218169
스타벅스 홍대역점,서울 마포구 양화로 165 상진빌딩 1층,37.5572083355752,126.923619092959
스타벅스 용산역써밋R점,서울 용산구 한강대로 69,37.5270404595814,126.964892234354
스타벅스 화곡DT점,서울 강서구 등촌로 57,37.5350125900994,126.863143013828
스타벅스 송파나루역DT점,서울 송파구 오금로 142,37.5108292192908,127.110268903268
스타벅스 한강진역R점,서울 용산구 이태원로 252,37.5371098560042,127.001121839019
스타벅스 마곡사이언스타워R점,서울 강서구 마곡동로 62,37.5605537644679,126.833890184435
스타벅스 광화문R점,서울 종로구 세종대로 167 현대해상본사사옥 별관내,37.5712680054994,126.976304863447
스타벅스 신월ICDT점,서울 양천구 남부순환로 430,37.5294934216077,126.832134462573
스타벅스 방화DT점,서울 강서구 방화대로 375,37.5744541532234,126.816386022206
스타벅스 이대R점,서울 서대문구 이화여대길 34,37.558453141276,126.945944197486
스타벅스 신정DT점,서울 양천구 신월로 341,37.522014544701,126.858836193806
스타벅스 노량진역점,서울 동작구 노량진로 134,37.5133653695495,126.940880232779
스타벅스 낙성대DT점,서울 관악구 남부순환로 1948,37.4761875809579,126.965131629973
스타벅스 영등포본동점,서울 영등포구 영등포로 254 우성타워 1층,37.5186835646791,126.909598177499
스타벅스 송파방이DT점,서울 송파구 오금로 241,37.5065367665138,127.120485645995
스타벅스 잠실새내역점,서울 송파구 올림픽로 96 1층,37.5114638312604,127.081212794079
스타벅스 보라매공원R점,서울 동작구 보라매로5길 35,37.4920901355933,126.923508147169
스타벅스 관악서울대입구R점,서울 관악구 관악로 158 BS타워 1층,37.4793104352293,126.952808280216
스타벅스 마곡나루역점,서울 강서구 마곡중앙로 161-17,37.5680581740122,126.825960812712
스타벅스 왕십리역점,서울 성동구 왕십리로 326,37.5627533594485,127.033895108318
스타벅스 가재울뉴타운점,서울 서대문구 남가좌동 384 2단지 별동상가 1층,37.5751770723164,126.914919757825
스타벅스 홍대공항철도역점,서울 마포구 양화로 178,37.5575046128363,126.925213220295
스타벅스 망원역점,서울 마포구 월드컵로 74,37.555782204515,126.910728577563
스타벅스 압구정로데오역점,"서울 강남구 선릉로 836 삼원빌딩 1,2층",37.5265428105713,127.040533570867
스타벅스 서울웨이브아트센터점,서울 서초구 잠원동 149,37.5188882427568,127.007005970813
스타벅스 성수역점,서울 성동구 성수이로 94,37.5432313943084,127.056957190581
스타벅스 신림DT점,서울 관악구 남부순환로 1419,37.4809747497557,126.908418046683
스타벅스 구로호텔점,서울 구로구 디지털로32길 72 구로호텔 1층,37.4831837029804,126.898856674536
스타벅스 답십리역점,서울 동대문구 천호대로 263,37.5685046121538,127.051120497766
스타벅스 신촌점,"서울 서대문구 연세로 10-1 즐거운빌딩 1,2,3층",37.5564898249423,126.937122838477
스타벅스 강동암사DT점,서울 강동구 고덕로 43,37.5551043012407,127.130014966918
스타벅스 한남동R,서울 용산구 독서당로 94,37.5348016217165,127.01093982785
스타벅스 청담사거리점,서울 강남구 도산대로 458 리츠타워,37.5237679012526,127.04687173454
스타벅스 구의DT,서울 광진구 광나루로 519,37.5453065761171,127.087213258945
스타벅스 신대방삼거리역점,서울 동작구 상도로 102,37.4999426964441,126.931776254273
스타벅스 까치산역점,서울 강서구 강서로13길 3,37.5322957492562,126.846047920456
스타벅스 합정점,서울 마포구 월드컵로1길 14,37.5500497954747,126.912061257921
스타벅스 공릉역점,서울 노원구 동일로 1081,37.62637727809,127.072270436177
스타벅스 신도림점,서울 구로구 경인로 610,37.5054764049558,126.883954921318
스타벅스 상암DMC점,"서울 마포구 월드컵북로 375 DMC이안오피스텔1단지 102,202호",37.5775739803674,126.890723266484
스타벅스 송파개롱역점,서울 송파구 오금로 420,37.4969894018022,127.136277101616
스타벅스 사당R점,"서울 관악구 남부순환로 2082-25 1,2층",37.4760566794321,126.981012772295
스타벅스 상계초교사거리점,서울 노원구 노원로 449,37.6566694543257,127.066441585083
스타벅스 군자역,서울 광진구 천호대로 548,37.5569179757465,127.078935662022
스타벅스 잠실역점,"서울 송파구 송파대로 562 한빛프라자 1,2층",37.5153235254771,127.099502662936
스타벅스 건대입구점,서울 광진구 능동로 107,37.5406991632015,127.070736495822
스타벅스 노원마들역점,서울 노원구 노원로 569 임광아파트상가,37.6609694156801,127.057100403217
스타벅스 어린이대공원역,서울 광진구 능동로 243,37.5519395891703,127.076354480595
스타벅스 서울숲역,서울 성동구 왕십리로 50 메가박스 스퀘어 1층,37.5418866227463,127.04491059446
스타벅스 상봉역점,서울 중랑구 망우로 307,37.5969380081251,127.086471773354
스타벅스 강동구청DT점,서울 강동구 성내로 32,37.5291904009702,127.123806229957
스타벅스 영등포역점,서울 영등포구 경인로 870,37.5169829500086,126.90928305399
스타벅스 은평구청입구점,서울 은평구 은평로 170 상현빌딩 1층,37.6010893852841,126.926662375326
스타벅스 서울대입구역점,서울 관악구 남부순환로 1812,37.4811154582785,126.951331357933
스타벅스 동대문공원점,서울 중구 장충단로 229,37.5652168235457,127.007213593145
스타벅스 신설동역점,서울 동대문구 왕산로 19,37.5767090920194,127.025524677025
스타벅스 회기역사거리점,서울 동대문구 이문로 37 회기 한일 베라체캠퍼스 1층,37.5908011291028,127.056117386349
스타벅스 장한평역점,서울 동대문구 장한로 10,37.5623569528356,127.065498788097
스타벅스 불광역점,서울 은평구 통일로 715 우리은행 1층,37.609413947696,126.930308376671
스타벅스 선릉세화빌딩점,서울 강남구 테헤란로64길 18 세화빌딩 1층,37.5037725578123,127.05119768025
스타벅스 동교점,서울 마포구 월드컵북로 22 영준빌딩 1층,37.5568956506034,126.920022354506
스타벅스 문정역점,서울 송파구 송파대로 167,37.4846614982049,127.120933640924
스타벅스 종암DT점,서울 성북구 종암로 17,37.5919045586268,127.036088313794
스타벅스 성신여대점,서울 성북구 동소문로24길 12,37.5931500260512,127.018413305959
