지점명,지점주소,y,x
맥도날드 서울시청점,서울 중구 남대문로9길 51 1층,37.5668136314671,126.979502322878
맥도날드 강남2호점,서울 강남구 테헤란로 107 메디타워 2층,37.4986813605293,127.028754000454
맥도날드 등촌DT점,서울 강서구 양천로 546,37.5582961015697,126.859767021184
맥도날드 강남삼성DT점,서울 강남구 봉은사로 432,37.510942210119,127.047318512892
맥도날드 홍익대점,서울 마포구 양화로 140 2층,37.5551251918993,126.922044721415
맥도날드 양재SK DT점,서울 서초구 바우뫼로 178,37.4780861398106,127.039597278471
맥도날드 청담DT점,서울 강남구 도산대로 407,37.5237080801969,127.04026189376
맥도날드 서울시흥DT점,서울 금천구 시흥대로 184,37.45048369315,126.902739837927
맥도날드 신림점,서울 관악구 신림로 310,37.48193549567,126.930185222541
맥도날드 송파잠실DT점,서울 송파구 도곡로 434,37.5043859457006,127.076971256945
맥도날드 서울둔촌DT점,서울 강동구 양재대로 1382,37.5293384086319,127.137280034164
맥도날드 종암SK점,서울 성북구 종암로 58,37.5957774048863,127.036011599387
맥도날드 양평SK점,서울 영등포구 선유로 195,37.5310482968462,126.893506681257
맥도날드 잠실역점,서울 송파구 송파대로 558,37.5150948546972,127.099711730295
맥도날드 신사역,서울 강남구 도산대로 123 2층,37.517452925178,127.021893253464
맥도날드 석촌역점,서울 송파구 백제고분로 390,37.5060115291383,127.109125741002
맥도날드 우장산DT점,서울 강서구 강서로 216,37.54510262704,126.837430096471
맥도날드 고척DT점,서울 구로구 경인로 393,37.4972394606333,126.863514479978
맥도날드 신월DT점,서울 양천구 남부순환로 404,37.531423373717,126.830877824709
맥도날드 서초GS점,서울 서초구 반포대로 69,37.4864727516209,127.009679178115
맥도날드 양천구청DT점,서울 양천구 목동동로 71,37.5155139074803,126.862972876451
맥도날드 상계DT점,서울 노원구 동일로 1612,37.672433032468,127.056180276476
맥도날드 굽은다리역DT점,서울 강동구 양재대로 1587,37.5472636704424,127.143003309142
맥도날드 노량진점,서울 동작구 노량진로 158,37.5134328037672,126.943538374682
맥도날드 서울번동DT점,서울 강북구 월계로 191,37.6211526622517,127.045257274538
맥도날드 구로디지털,서울 구로구 디지털로31길 12 태평양물산 1층,37.4851065658182,126.895363361167
맥도날드 서울상암DMC점,서울 마포구 월드컵북로 400,37.5804510730532,126.88989352596
맥도날드 위례신도시점,서울 송파구 위례광장로 290 위례중앙푸르지오2단지 상가 1층 119~122호,37.4749772804272,127.142808825888
맥도날드 명동점,서울 중구 명동7길 8 1층,37.5641769138849,126.984548675895
맥도날드 공덕점,서울 마포구 마포대로 53 마포트라펠리스 1층,37.5414321628548,126.947054064308
맥도날드 신천점,서울 송파구 올림픽로 108,37.5114261730629,127.082765031389
맥도날드 서울교대점,서울 서초구 서초대로 316,37.4940678905445,127.016210341045
맥도날드 염창DT점,서울 강서구 공항대로71길 3,37.5476522592144,126.871567187796
맥도날드 어린이대공원점,서울 광진구 광나루로 392,37.547301943571,127.073123076689
맥도날드 연세대점,서울 서대문구 연세로 33,37.5585909167374,126.936722572896
맥도날드 여의도점,서울 영등포구 국제금융로 10 IFC몰 B326호,37.5251775245928,126.924876706923
맥도날드 이수점,서울 동작구 사당로 300,37.4843790909712,126.980281616349
맥도날드 보라매,서울 영등포구 여의대방로 145,37.5002104691442,126.919990345257
맥도날드 종로3가점,서울 종로구 종로 115,37.5706083074284,126.990464570479
맥도날드 삼성역점,서울 강남구 삼성로92길 29 지하1층,37.5083178432764,127.058778402547
맥도날드 이태원점,서울 용산구 이태원로 142-1,37.5339523956018,126.989697279291
맥도날드 영등포점,서울 영등포구 경인로 855,37.5169897860617,126.907640499641
맥도날드 서초뱅뱅점,서울 서초구 강남대로 305 현대렉시온 101호,37.4901824983595,127.030641805543
맥도날드 미아DT점,서울 강북구 삼양로 158,37.6181668950231,127.021699725176
맥도날드 선릉점,서울 강남구 테헤란로 326 I타워 103호,37.5035470555751,127.047033596011
맥도날드 양재점,서울 서초구 강남대로 213,37.4827666361943,127.034949554107
맥도날드 전농점,서울 동대문구 전농로 146,37.5781383096603,127.057782109981
맥도날드 쌍문DT점,서울 도봉구 도봉로 541,37.6536250868839,127.037199482932
맥도날드 신월남부DT점,서울 양천구 남부순환로 553,37.5197288998681,126.838723252685
맥도날드 강남구청점,서울 강남구 선릉로 667,37.5162728163012,127.04132524415
맥도날드 수유점,서울 강북구 도봉로 342,37.6380345518337,127.026128675843
맥도날드 연신내점,서울 은평구 연서로 213,37.6176436383991,126.919238535247
맥도날드 가락DT점,서울 송파구 동남로 196,37.4948920177359,127.130796623991
맥도날드 학동역점,서울 강남구 논현로 667,37.5135684003677,127.03054130783
맥도날드 숭실대점,서울 동작구 사당로 22,37.4951109035518,126.956899154248
맥도날드 상일동점,서울 강동구 상일로6길 39,37.5498036802654,127.175347693962
맥도날드 과학기술대점,서울 노원구 공릉로 231,37.629747043417,127.076159858765
맥도날드 신내,서울 중랑구 봉화산로 194 신아타운1층,37.6064526315197,127.094707041869
맥도날드 망원점,서울 마포구 월드컵로 81,37.5560708408877,126.909723811632
맥도날드 중랑점,서울 중랑구 망우로 202 동성빌딩,37.5934850257791,127.075473622773
맥도날드 안암점,서울 성북구 고려대로24길 42,37.5844055042855,127.029263584786
맥도날드 안국역,서울 종로구 율곡로 45,37.576315820328,126.984366285383
맥도날드 방배점,서울 서초구 방배로 81,37.4816650609857,126.997118841506
맥도날드 강동구청,서울 강동구 성내로 15 삼육빌딩 1층,37.5303327650847,127.122611598827
