지점명,지점주소,y,x
세븐일레븐 마포스토리점,서울 마포구 월드컵북로 13,37.5561154802235,126.920160129264
세븐일레븐 한남UN점,서울 용산구 독서당로 86,37.5342832610986,127.010094699247
세븐일레븐 천호사거리점,서울 강동구 천호대로157길 26,37.5388374796553,127.127552334563
세븐일레븐 홍대스타점,서울 마포구 어울마당로 74,37.5515597604562,126.921631639385
세븐일레븐 공릉점,서울 노원구 공릉로 101,37.6193014358931,127.077841683528
세븐일레븐 방배8호점,서울 서초구 방배중앙로 185,37.4955690256417,126.985626706086
세븐일레븐 연남숲길점,서울 마포구 성미산로23길 16-5 지하 101호,37.5644945951946,126.921407563625
세븐일레븐 마포구청점,서울 마포구 월드컵로 204,37.5653992058145,126.9021317644
세븐일레븐 방이5호점,서울 송파구 위례성대로16길 21,37.5108590063672,127.124366471543
세븐일레븐 당산역본점,서울 영등포구 당산로 237 그린빌오피스텔 101호,37.5349150093689,126.902232712073
세븐일레븐 소공점,서울 중구 남대문로7길 11,37.5636892672995,126.981249523015
세븐일레븐 역삼언주로점,서울 강남구 언주로85길 24 1층,37.5010140537786,127.041259156695
세븐일레븐 홍익대2호점,서울 마포구 와우산로 63,37.5502727848665,126.922878599624
세븐일레븐 무교점,서울 중구 무교로 12,37.5670466069498,126.979375711608
세븐일레븐 DH아너힐즈점,서울 강남구 삼성로 11 디에이치아너힐즈 지하1층 101호,37.4841345111774,127.068092458881
세븐일레븐 봉천1호점,서울 관악구 남부순환로 1766,37.481700832272,126.946114635644
세븐일레븐 서강대르메이에르점,서울 마포구 백범로 13,37.5534472643432,126.937496367054
세븐일레븐 사당역점,서울 관악구 남현1길 66,37.4757184581365,126.981123762876
세븐일레븐 서초샤르망점,서울 서초구 효령로55길 28,37.4861327609484,127.01447946651
세븐일레븐 서초교대역점,서울 서초구 서초중앙로 122,37.49269457008,127.014148621273
세븐일레븐 대치삼화점,서울 강남구 테헤란로114길 20 1층 101호,37.5083543250525,127.066764125492
세븐일레븐 세종대로카페점,"서울 중구 세종대로 76-1 1, 2층",37.5629554535728,126.976940198959
세븐일레븐 교대역점,서울 서초구 서초대로50길 24 청화빌딩 1층,37.492088163799,127.01281837401
세븐일레븐 리버파크점,"서울 동작구 만양로3길 20 신동아리버파크빌 2층 2동 201,202호",37.5082107065725,126.946118884633
세븐일레븐 신사5호점,서울 강남구 강남대로162길 45,37.5211439578293,127.021984150385
세븐일레븐 당인동점,서울 마포구 어울마당로 26,37.5474999833621,126.919932359364
세븐일레븐 교대역사거리점,서울 서초구 서초중앙로 138,37.4942438734072,127.013967192463
세븐일레븐 방배효령점,서울 서초구 효령로 165,37.4825381525088,127.002237861854
세븐일레븐 성북본점,서울 성북구 한천로99길 45 1층 101호,37.620456070339,127.049825331313
세븐일레븐 서울복합물류단지점,서울 송파구 송파대로 55 B동 1층,37.4741646654933,127.123881817499
세븐일레븐 강서등촌점,서울 강서구 공항대로41길 43 새한프라자101호,37.5599073490843,126.845540896294
세븐일레븐 연희점,서울 서대문구 연희로 177 연희빌딩,37.5730235310553,126.935247820456
세븐일레븐 역삼한은점,서울 강남구 테헤란로 204 1층,37.5010077030074,127.038726929619
세븐일레븐 서교한우물점,서울 마포구 잔다리로 111 1층,37.5568160564594,126.914071790316
세븐일레븐 서초중앙점,서울 서초구 반포대로23길 14 매강빌딩 1층,37.4891094080713,127.007981724198
세븐일레븐 평창점,서울 종로구 평창11길 17,37.6069645081672,126.965957885154
세븐일레븐 역삼한서점,서울 강남구 테헤란로38길 11 유정빌딩,37.5012958846463,127.041782586457
세븐일레븐 마포성산점,서울 마포구 성미산로 23,37.5587301952762,126.910872192372
세븐일레븐 청담7호점,서울 강남구 도산대로96길 13,37.5236628622669,127.050961827844
세븐일레븐 상암KLID타워점,서울 마포구 성암로 301 1층,37.582468718569,126.887937496441
세븐일레븐 양재4호점,서울 서초구 매헌로 42,37.4647028057377,127.03440229927
세븐일레븐 도선까페점,서울 성동구 왕십리로 326 1층 101호,37.5627533594485,127.033895108318
세븐일레븐 강서화곡점,서울 강서구 곰달래로 111,37.5306260031811,126.845280332399
세븐일레븐 양재시민의숲역점,서울 서초구 강남대로12길 23-48,37.470407085103,127.039647149918
세븐일레븐 L7강남점,"서울 강남구 테헤란로 415 B101, 102호",37.5057885877997,127.051541631852
세븐일레븐 홍대클럽점,서울 마포구 어울마당로 58 1층,37.5501049659351,126.921296156465
세븐일레븐 봉천해주점,서울 관악구 봉천로 466 해주타워 1층,37.4820210080697,126.951638187547
세븐일레븐 풍납사거리점,서울 송파구 올림픽로 509,37.5278698593939,127.11839160464
세븐일레븐 종로향기점,서울 종로구 난계로29길 28,37.574281504827,127.021654609122
세븐일레븐 마포합정점,서울 마포구 양화로 27,37.54915074891,126.912262500924
세븐일레븐 영등포역점,서울 영등포구 영신로20길 4,37.5149390026773,126.90820609914
세븐일레븐 공릉시장점,서울 노원구 동일로 1040 서창빌딩 1층,37.622930078092,127.074196748017
