,metro_station_name,metro_station_addr,metro_geo_lat,metro_geo_lng
0,강남역 2호선,서울 강남구 강남대로 지하 396,37.4981646510326,127.028307900881
1,서울대입구역 2호선,서울 관악구 남부순환로 지하 1822,37.4811526631844,126.952645104944
2,합정역 2호선,서울 마포구 양화로 지하 55,37.5501152068908,126.914638180431
3,왕십리역 2호선,서울 성동구 왕십리로 지하 300,37.5612217415191,127.036655378283
4,당산역 2호선,서울 영등포구 당산로 229,37.534956866618,126.90273071003
5,신촌역 2호선,서울 마포구 신촌로 지하 90,37.5554417865984,126.936119192554
6,잠실역 2호선,서울 송파구 올림픽로 지하 265,37.513859279255,127.101857941447
7,신림역 2호선,서울 관악구 남부순환로 지하 1614,37.4842176141092,126.92980331103
8,홍대입구역 2호선,서울 마포구 양화로 지하 160,37.5568904093718,126.923674307594
9,교대역 3호선,서울 서초구 서초대로 지하 294,37.4935774661715,127.014155572616
10,종각역 1호선,서울 종로구 종로 지하 55,37.5702140381269,126.983239678933
11,혜화역 4호선,서울 종로구 대학로 지하 120,37.5818036223189,127.001978401429
12,연신내역 3호선,서울 은평구 통일로 지하 849,37.618962003178,126.921162124977
13,삼성역 2호선,서울 강남구 테헤란로 지하 538,37.5088619974404,127.063073009788
14,역삼역 2호선,서울 강남구 테헤란로 지하 156,37.5007162693593,127.036618203089
15,종로3가역 1호선,서울 종로구 종로 지하 129,37.5704266025836,126.99202930223
16,구로역 1호선,서울 구로구 구로중앙로 174,37.5024345090279,126.881491595821
17,노원역 4호선,서울 노원구 상계로 69-1,37.6562677764281,127.063030448739
18,신도림역 1호선,서울 구로구 경인로 688,37.5090353187112,126.891187111711
19,가산디지털단지역 7호선,서울 금천구 벚꽃로 309,37.4815957375443,126.882559483336
20,까치산역 5호선,서울 강서구 강서로 지하 54,37.5319560847746,126.846611592059
21,신사역 3호선,서울 강남구 도산대로 지하 102,37.5164324582415,127.020326886309
22,성수역 2호선,서울 성동구 아차산로 100,37.5445023983984,127.056090471223
23,사당역 2호선,서울 동작구 남부순환로 지하 2089,37.4765228347619,126.981408909449
24,염창역 9호선,서울 강서구 공항대로 지하 631,37.547059307287,126.875005005839
25,이태원역 6호선,서울 용산구 이태원로 지하 177,37.534483277545,126.993721655506
26,강동역 5호선,서울 강동구 천호대로 지하 1097,37.5355205088294,127.133529582127
27,양재역 3호선,서울 서초구 남부순환로 지하 2585,37.4839347328908,127.034544193436
28,강변역 2호선,서울 광진구 강변역로 53,37.5351692767888,127.094664569096
29,총신대입구역 4호선,서울 동작구 동작대로 지하 117,37.4875538278198,126.982199707405
30,대림역 2호선,서울 구로구 도림천로 351,37.4933105886136,126.8949461878
31,건대입구역 2호선,서울 광진구 아차산로 243,37.5404188872176,127.069173281554
32,쌍문역 4호선,서울 도봉구 도봉로 지하 486-1,37.6488498649136,127.034880717215
33,공덕역 5호선,서울 마포구 마포대로 지하 100,37.5445267873155,126.951363830233
34,동대문역 1호선,서울 종로구 종로 지하 302,37.5717775660734,127.011167102297
35,사가정역 7호선,서울 중랑구 사가정로 지하 393,37.5807945533834,127.088439058456
36,상도역 7호선,서울 동작구 상도로 지하 272,37.5032080456431,126.947700373641
37,구파발역 3호선,서울 은평구 진관2로 지하 15-25,37.6368417889316,126.918745426412
38,불광역 3호선,서울 은평구 통일로 지하 723-1,37.6102072578868,126.92998576213
39,수유역 4호선,서울 강북구 도봉로 지하 338,37.6377452337445,127.025356901379
40,구로디지털단지역 2호선,서울 구로구 도림천로 477,37.4853149237865,126.901494378412
41,선릉역 2호선,서울 강남구 테헤란로 지하 340,37.5045028775835,127.048942471228
42,발산역 5호선,서울 강서구 공항대로 지하 267,37.5590292668195,126.837310771961
43,장한평역 5호선,서울 동대문구 천호대로 지하 405,37.5615026802954,127.064421108758
44,신대방역 2호선,서울 동작구 대림로 2,37.4875759745635,126.913175585996
45,방배역 2호선,서울 서초구 방배로 지하 80,37.4814364876589,126.997694899327
46,성신여대입구역 4호선,서울 성북구 동소문로 지하 102,37.5927179261346,127.016477649743
47,강남구청역 7호선,서울 강남구 학동로 지하 346,37.5171892352971,127.04130142966
48,창동역 1호선,서울 도봉구 마들로11길 77,37.6532174818989,127.047714954434
49,명동역 4호선,서울 중구 퇴계로 지하 126,37.5609100751113,126.985947030389
