,지점명,지점주소
101,CU 수유대로점,서울 강북구 노해로 121
102,CU M강남역점,서울 강남구 테헤란로 101 강남역 구내상가
103,CU 삼성본점,서울 강남구 테헤란로81길 10
104,CU M잠실롯데타워점,서울 송파구 올림픽로 305 잠실역8호선 -1층 E호
105,CU 뉴사당점,서울 동작구 남부순환로 2061
106,CU 서초도씨에빛점,서울 서초구 강남대로 359 대우도씨에빛2 1층 106호
107,CU 타워팰리스점,서울 강남구 언주로30길 56 타워팰리스1차 1층 104호
108,CU 서울숲공원1호점,서울 성동구 뚝섬로 273
109,CU 대림지성점,서울 영등포구 디지털로 431
110,CU 고대동문점,서울 성북구 고려대로24길 56
111,CU 성내중앙점,서울 강동구 강동대로53길 22
112,CU 수유삼양점,서울 강북구 삼양로80나길 69
113,CU 홍대동교로점,서울 마포구 동교로 190
114,CU 송파푸르지오2호점,서울 송파구 새말로 62 송파푸르지오 상가1층 153호
115,CU 관악이글점,서울 관악구 남부순환로 1873 대주빌딩
116,CU 오류현대점,서울 구로구 경인로20나길 30
117,CU 서울대스위트점,서울 관악구 관악로 157 1층
118,CU 청담강변점,서울 강남구 압구정로79길 25
119,CU 가락시영점,서울 송파구 가락로 74
120,CU 청담보람점,서울 강남구 선릉로 844 신안상가1층2호
121,CU 논현광명점,서울 강남구 강남대로 506 광명빌딩
122,CU M신도림역점,서울 구로구 새말로 지하 117-21 구내상가 번호
123,CU 원남사거리점,서울 종로구 율곡로 174
124,CU 연남파크점,서울 마포구 성미산로32길 47 1층
125,CU 가락우성점,서울 송파구 송파대로32길 8
126,CU 미아삼양점,서울 강북구 솔샘로 231
127,CU 대청수성점,서울 강남구 개포로109길 34 대청플라자 1층
128,CU 수유빨래골점,서울 강북구 삼양로 306
129,CU 송파대로점,서울 송파구 송파대로 467
130,CU 홍제통일로점,서울 서대문구 통일로 461
131,CU 방이가락로점,서울 송파구 가락로42길 14 왕천시티빌딩
132,CU 신논현역점,서울 강남구 강남대로 492
133,CU 광장점,서울 광진구 광나루로 635 현대3단지아파트상가 3동 104호
134,CU 반포미소점,서울 서초구 사평대로55길 94 반포빌딩
135,CU 마포구청점,서울 마포구 월드컵로 139 101호
136,CU 웨스트타워점,서울 서대문구 충정로 70 웨스트게이트타워 1층 104호
137,CU 영등포본점,서울 영등포구 경인로 861
138,CU 서울대관정도서관점,서울 관악구 관악로 1 서울대학교 관정도서관 부속동 1층 4호
139,CU 논현세관사거리점,서울 강남구 언주로130길 10
140,CU 화곡사거리점,서울 강서구 곰달래로 123 지층3
141,CU 강남로얄점,서울 강남구 봉은사로 443
142,CU 잠실레이크점,서울 송파구 석촌호수로 140 레이크타워 1층 101
143,CU 왕십리민자역사1호점,서울 성동구 왕십리광장로 17 왕십리민자역 역사복합건물지상 1층 C-03
144,CU 서교3호점,서울 마포구 양화로 100-13
145,CU 강동그라시움점,서울 강동구 고덕로83길 42
146,CU 석촌중앙점,서울 송파구 백제고분로 288 미광빌딩
147,CU 미아대양점,서울 강북구 도봉로 132
148,CU 홍대와우점,서울 마포구 와우산로 45
149,CU 방이우량점,서울 송파구 가락로36길 7
150,CU 대치한국점,서울 강남구 선릉로86길 7
151,CU 송파고분로점,서울 송파구 백제고분로46길 43
152,CU 반포서래타운점,서울 서초구 서래로5길 35
153,CU 역촌제일점,서울 은평구 갈현로 59
154,CU 내자중앙점,서울 종로구 사직로 121
155,CU 성대양현관입구점,서울 종로구 명륜길 74
156,CU 명동중앙점,서울 중구 명동3길 6 개양빌딩
157,CU 성북로데오점,서울 성북구 동소문로20가길 22
158,CU 대학로광장점,서울 종로구 대학로 121
159,CU 한강시민공원점,서울 마포구 망원로 8
160,CU 공릉철길공원점,서울 노원구 공릉로37길 17
161,CU 성수한진점,서울 성동구 뚝섬로 312
162,CU 오목교스퀘어점,서울 양천구 오목로 345
163,CU 청담블루밍점,서울 강남구 삼성로120길 7
164,CU 삼성대웅점,서울 강남구 봉은사로 630
165,CU 논현학동점,서울 강남구 학동로25길 11 B101호
166,CU 역삼본점,서울 강남구 강남대로110길 11
167,CU 여의트레뉴점,서울 영등포구 국제금융로2길 37 에스트레뉴 1층
168,CU 염리대흥점,서울 마포구 백범로 117 1층
169,CU 서초현대렉시온점,서울 서초구 강남대로 305 현대렉시온 B1층 121호
170,CU 역삼강남점,서울 강남구 강남대로94길 23
171,CU 종로신교점,서울 종로구 필운대로 112-4 수만빌리지 1층
172,CU 서오능점,서울 은평구 서오릉로 217
173,CU 도원삼성점,서울 용산구 새창로12길 4 장원빌딩
174,CU 신촌르메이점,서울 서대문구 신촌로 127 메이에르타 1층 102호
175,CU 논현혜성점,서울 강남구 강남대로118길 8
176,CU 성북점,서울 성북구 성북로8길 4
177,CU 새절역점,서울 은평구 증산로 401
178,CU 정릉센터점,서울 성북구 북악산로 813
179,CU 낙성대역점,서울 관악구 봉천로 604-1
180,CU 영신점,서울 영등포구 영등포로 225
181,CU 구로공단점,서울 관악구 시흥대로 556
182,CU 종로경희궁점,서울 종로구 경희궁길 4 1호
183,CU 행당두산점,서울 성동구 행당로 104-1 한승빌딩 1층 102
184,CU 은평어드벤스힐점,서울 은평구 진관1로 21-35 어드벤스힐오피스텔 1층 118호
185,CU 서교타워점,서울 마포구 양화로 133 1층
186,CU 금호대우점,서울 성동구 독서당로 272
187,CU 대치금강점,서울 강남구 테헤란로 410
188,CU 청담삼환점,"서울 강남구 학동로77길 49 삼환아파트상가 1층 102,103호"
189,CU 삼성우주점,서울 강남구 영동대로118길 7
190,CU 청담진흥점,서울 강남구 삼성로134길 8 1층
191,CU 구로희망점,서울 구로구 디지털로31길 53 이앤씨벤처 드림타워5차
192,CU 중구해성점,서울 중구 세종대로12길 12 호텔그레이스리서울 1층 102호
193,CU 수유중앙점,서울 강북구 한천로139길 46
194,CU 마포연남점,서울 마포구 동교로 261-1
195,CU 송정역점,서울 강서구 공항대로 43
196,CU 마곡더랜드점,서울 강서구 마곡중앙로 161-8 두산더랜드파크 1층 A동 106호
197,CU 명동화이자점,서울 중구 퇴계로 114-1
198,CU 마로니에점,서울 종로구 대학로 81
199,CU 종로창신길점,서울 종로구 낙산성곽동길 62
200,CU 신사드림점,서울 강남구 압구정로4길 10
201,CU 문정그린점,서울 송파구 동남로2길 4
