,지점명,지점주소
95,스타벅스 석촌서호점,서울 송파구 석촌호수로 176 1층
96,스타벅스 교대역점,서울 서초구 서초중앙로 138 1~2층
97,스타벅스 성신여대정문,서울 성북구 보문로34길 62
98,스타벅스 서울고속터미널점,서울 서초구 신반포로 194
99,스타벅스 청담점,서울 강남구 도산대로 532 인희빌딩 1층
100,스타벅스 길음역점,서울 성북구 정릉로 376
101,스타벅스 선릉동신빌딩R점,서울 강남구 테헤란로 409
102,스타벅스 동빙고점,서울 용산구 장문로 12
103,스타벅스 가양역점,서울 강서구 양천로 476
104,스타벅스 강변역,서울 광진구 구의강변로 64 구의아크로리버 제1층 109호
105,스타벅스 석촌역점,서울 송파구 백제고분로 358 우전빌딩 1층
106,스타벅스 강북구청사거리점,서울 강북구 도봉로 365
107,스타벅스 홍제역점,서울 서대문구 통일로 451
108,스타벅스 선정릉역,서울 강남구 봉은사로 407
109,스타벅스 마곡GMG점,서울 강서구 마곡중앙6로 16 117~120호
110,스타벅스 송파위례점,서울 송파구 위례광장로 230
111,스타벅스 안국점,서울 종로구 북촌로 5-1
112,스타벅스 광화문D타워점,서울 종로구 종로3길 17 D타워
113,스타벅스 강남삼성타운점,서울 서초구 서초대로78길 24
114,스타벅스 공덕오거리점,서울 마포구 마포대로 86 1층
115,스타벅스 경복궁역점,서울 종로구 자하문로4길 6 1층
116,스타벅스 구산역점,서울 은평구 연서로 146
117,스타벅스 홍대갤러리점,서울 마포구 와우산로 101 정명빌딩
118,스타벅스 합정메세나몰점,서울 마포구 양화로 45 메세나폴리스 지하 1층 161~164호
119,스타벅스 쌍문역점,서울 도봉구 도봉로 480
120,스타벅스 상봉점,서울 중랑구 상봉로 131 상봉듀오트리스주상복합
121,스타벅스 포이점,서울 강남구 논현로 88
122,스타벅스 노원KT점,서울 노원구 노해로 502 KT 노원사옥
123,스타벅스 아차산역,서울 광진구 천호대로 676
124,스타벅스 동부이촌동점,서울 용산구 이촌로 198
125,스타벅스 문정법원로R,서울 송파구 송파대로 201
126,스타벅스 금천독산점,서울 금천구 두산로 70 남서울현대지식산업센터 T로비층 108호
127,스타벅스 가로수길점,서울 강남구 논현로175길 94 임도빌딩 1층
128,스타벅스 방배역점,서울 서초구 방배로 84
129,스타벅스 송파구청,서울 송파구 오금로 87
130,스타벅스 여의도IFC점,서울 영등포구 국제금융로 10 1층
131,스타벅스 센트럴시티점,서울 서초구 신반포로 176 센트럴시티 1층
132,스타벅스 종각점,서울 종로구 종로 64
133,스타벅스 사가정역점,서울 중랑구 면목로 310
134,스타벅스 한양대점,"서울 성동구 왕십리로 225 경희빌딩 1,2층"
135,스타벅스 용산아이파크몰점,서울 용산구 한강대로23길 55 아이파크몰 서관 6층
136,스타벅스 신림사거리점,"서울 관악구 남부순환로 1619 영일빌딩 1, 2층"
137,스타벅스 안암역점,서울 성북구 고려대로 102-2
138,스타벅스 선릉역점,서울 강남구 테헤란로 334 LG화재빌딩 1층
139,스타벅스 뚝섬역,서울 성동구 아차산로 42
140,스타벅스 미아뉴타운점,서울 강북구 삼양로 161 행전빌딩
141,스타벅스 종로평창점,서울 종로구 평창12길 3
142,스타벅스 문래동점,서울 영등포구 선유로 64 대창타운빌 1층
143,스타벅스 이태원역점,서울 용산구 이태원로 188
144,스타벅스 올림픽공원남문점,서울 송파구 위례성대로 102 태평양파크빌라트 상가 1층
145,스타벅스 잠실대교남단R점,서울 송파구 송파대로 570 타워730 1층
146,스타벅스 마곡역점,서울 강서구 공항대로 168 101~105호
147,스타벅스 연신내역사거리점,서울 은평구 통일로 842
148,스타벅스 강남오거리점,서울 강남구 봉은사로2길 39
149,스타벅스 문정하비오점,서울 송파구 송파대로 111 204동 104~107호
150,스타벅스 중계역점,서울 노원구 동일로 1339 대한빌딩
151,스타벅스 서교점,서울 마포구 양화로 78
152,스타벅스 신사가로수점,서울 강남구 가로수길 59
153,스타벅스 잠실시그마타워점,서울 송파구 올림픽로 289
154,스타벅스 낙성대역점,서울 관악구 남부순환로 1908
155,스타벅스 연희동점,서울 서대문구 연희로 97
156,스타벅스 숭실대입구역,서울 동작구 상도로 354
157,스타벅스 동묘앞역점,"서울 종로구 종로 344 101,201호"
158,스타벅스 미아사거리역점,서울 강북구 도봉로 32
159,스타벅스 수서점,서울 강남구 밤고개로1길 10 현대벤처빌딩 지하 2층
160,스타벅스 뱅뱅사거리점,서울 강남구 강남대로 282
161,스타벅스 순천향입구점,서울 용산구 대사관로 67
162,스타벅스 여의도점,서울 영등포구 국제금융로2길 28
163,스타벅스 문래역점,서울 영등포구 당산로 34
164,스타벅스 중랑구청점,서울 중랑구 신내로 72
165,스타벅스 중앙대점,서울 동작구 흑석로 75-1
