,지점명,지점주소
107,GS25 종로YMCA점,서울 종로구 종로 69 1층
108,GS25 마곡서브원점,서울 강서구 마곡중앙로 150
109,GS25 논현동국점,서울 강남구 논현로131길 6
110,GS25 용산점,서울 용산구 한강대로 49
111,GS25 한강세빛섬점,서울 서초구 올림픽대로 2085-14
112,GS25 방학ESA점,서울 도봉구 도봉로150길 43
113,GS25 유신림마음점,서울 관악구 신림로59길 6
114,GS25 뉴국제호텔점,서울 중구 세종대로22길 12
115,GS25 논현삼익점,서울 강남구 강남대로132길 10
116,GS25 성수포레점,서울 성동구 서울숲2길 32-14
117,GS25 신천점,서울 송파구 백제고분로7길 30
118,GS25 논현하니점,서울 강남구 논현로131길 31
119,GS25 서초아이파크점,서울 서초구 효령로70길 36-27 1층
120,GS25 역삼아워홈점,서울 강남구 역삼로3길 10
121,GS25 서초낙원점,서울 서초구 효령로 314
122,GS25 대방역점,서울 영등포구 여의대방로62길 2 101
123,GS25 성산연희점,서울 마포구 월드컵북로16길 34
124,GS25 도화삼보점,서울 마포구 도화길 43
125,GS25 가락센타점,서울 송파구 오금로44가길 9 1층
126,GS25 종로안국점,서울 종로구 율곡로 61
127,GS25 대치골드점,서울 강남구 선릉로86길 48
128,GS25 한남중앙점,서울 용산구 한남대로21길 18
129,GS25 공덕대우점,서울 마포구 백범로 199
130,GS25 회현역점,서울 중구 퇴계로 66
131,GS25 역삼햇살점,서울 강남구 논현로 412 평화빌딩 104호
132,GS25 역삼넥스빌점,서울 강남구 언주로86길 11 105~7호
133,GS25 강남대치점,서울 강남구 선릉로 420 1층 7호
134,GS25 이태원힐점,서울 용산구 녹사평대로40길 55
135,GS25 디큐브시티점,서울 구로구 경인로 662 지하 1층
136,GS25 올림픽점,서울 송파구 백제고분로 509
137,GS25 방배우성점,서울 서초구 과천대로 946
138,GS25 삼성봉은점,서울 강남구 봉은사로71길 6
139,GS25 면목본점,서울 중랑구 면목로 432 1층
140,GS25 서초코날점,서울 서초구 서운로 6
141,GS25 역삼사랑점,서울 강남구 테헤란로55길 27
142,GS25 삼전배명점,서울 송파구 삼학사로 81
143,GS25 서초대림점,서울 서초구 명달로4길 32
144,GS25 풍납퍼스트점,서울 송파구 토성로 26
145,GS25 트윈트리타워점,서울 종로구 율곡로 6 B동 102호
146,GS25 여의서린점,서울 영등포구 여의대방로65길 17
147,GS25 수유동양점,서울 강북구 도봉로83길 20 동양빌딩 1층 102~104호
148,GS25 길음역점,"서울 성북구 동소문로 248 105동 125,126호"
149,GS25 대치삼성점,서울 강남구 테헤란로98길 8
150,GS25 수유점,서울 강북구 한천로 1038
151,GS25 강남타운점,서울 강남구 테헤란로 115 1층
152,GS25 이태원본점,서울 용산구 우사단로10길 23
153,GS25 방배이수점,서울 서초구 동작대로 108 디오슈페리움2차 1층
154,GS25 영등포본점,서울 영등포구 경인로 849
155,GS25 신림난곡점,서울 관악구 조원로22길 36
156,GS25 잠원주흥점,서울 서초구 강남대로95길 19-4
157,GS25 문래동국점,서울 영등포구 선유로 76 동국메뜨리앙 101호
158,GS25 보라매타운점,서울 동작구 보라매로5가길 7 그린빌 104
159,GS25 성수역점,서울 성동구 아차산로7길 3
160,GS25 동대문시장점,서울 종로구 종로 266 동대문종합시장 D동 1층
161,GS25 신사코원점,서울 강남구 강남대로162길 41-19 1층
162,GS25 신천으뜸점,서울 송파구 백제고분로7길 48
163,GS25 문래승호점,서울 영등포구 경인로77길 14
164,GS25 뉴신림사랑점,서울 관악구 신림동1길 21
165,GS25 마포역점,서울 마포구 토정로 320
166,GS25 응암한빛점,서울 은평구 응암로13길 14
167,GS25 신정중앙점,서울 양천구 은행정로 14
168,GS25 미아삼거리점,서울 강북구 도봉로8길 22 1층
169,GS25 합정카페거리점,서울 마포구 양화로6길 14
170,GS25 상계4단지점,서울 노원구 동일로214길 21 상계주공4단지 상가101동
171,GS25 신정뉴타운점,서울 양천구 남부순환로85길 12 1층
172,GS25 광진군자역점,서울 광진구 천호대로 562
173,GS25 논현동현점,서울 강남구 도산대로50길 27
174,GS25 연대연희점,서울 서대문구 연희로 63
175,GS25 방이도곡점,서울 송파구 올림픽로32길 59
176,GS25 타임스퀘어점,서울 영등포구 영중로 15 1층 110호
177,GS25 신촌서강점,서울 마포구 서강로 114
178,GS25 홍대솔내길점,서울 마포구 독막로7길 53
179,GS25 삼선센터점,서울 성북구 보문로 189
180,GS25 종로94빌딩점,서울 종로구 삼봉로 94 1층 104호
181,GS25 노량남강점,서울 동작구 노량진로 202
182,GS25 역삼이담점,서울 강남구 테헤란로16길 15
183,GS25 화랑대역점,서울 중랑구 신내로25가길 2 107호
184,GS25 화곡까치점,서울 강서구 까치산로 161
185,GS25 노유점,서울 광진구 동일로20길 78
186,GS25 광장학산점,서울 광진구 아차산로78길 72 학산코스모스텔 1층 101-1호
187,GS25 용산하얏트점,서울 용산구 회나무로44길 46
188,GS25 양평역점,서울 영등포구 선유서로 117 월드프라자 103호
189,GS25 잠실주공점,서울 송파구 송파대로 567
190,GS25 구로지벨리몰점,서울 구로구 디지털로 300
191,GS25 관악한일점,서울 관악구 승방2길 2 한일빌딩1층
192,GS25 여의성우점,서울 영등포구 국회대로66길 17
193,GS25 역삼행운점,서울 강남구 논현로79길 56 101호
194,GS25 송파희망점,서울 송파구 위례성대로22길 16 1층
195,GS25 반포중앙점,서울 서초구 사평대로55길 37 1층
196,GS25 논현미래점,서울 강남구 강남대로112길 20
197,GS25 상계으뜸점,서울 노원구 노원로28길 73 성지빌딩 1층
198,GS25 중랑팰리스점,서울 중랑구 망우로 316 이지팰리스109호
199,GS25 등촌한마음점,서울 강서구 공항대로58길 32
